id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,jumlah_penduduk_jiwa,luas_hutan_ha,luas_kebun_ha,luas_semak_ha,luas_kering_ha,luas_sawah_ha,luas_tambang_ha,luas_terbangun_ha,luas_air_ha,total_pk_sawah_ton,total_pb_sawah_ton,total_e_sawah_mcal,yield_pk_sawah_ton_ha,yield_pb_sawah_ton_ha,yield_e_sawah_mcal_ha,total_pk_kering_ton,total_pb_kering_ton,total_e_kering_mcal,yield_pk_kering_ton_ha,yield_pb_kering_ton_ha,yield_e_kering_mcal_ha,energi_tersedia_mcal,kebutuhan_energi_mcal,gap_energi_mcal,rasio_energi_kebutuhan,delta_jumlah_penduduk_jiwa,pct_jumlah_penduduk_jiwa,delta_luas_sawah_ha,pct_luas_sawah_ha,delta_luas_kering_ha,pct_luas_kering_ha,delta_total_pk_sawah_ton,pct_total_pk_sawah_ton,delta_total_pb_sawah_ton,pct_total_pb_sawah_ton,delta_total_e_sawah_mcal,pct_total_e_sawah_mcal,delta_yield_pk_sawah_ton_ha,pct_yield_pk_sawah_ton_ha,delta_yield_pb_sawah_ton_ha,pct_yield_pb_sawah_ton_ha,delta_yield_e_sawah_mcal_ha,pct_yield_e_sawah_mcal_ha,delta_total_pk_kering_ton,pct_total_pk_kering_ton,delta_total_pb_kering_ton,pct_total_pb_kering_ton,delta_total_e_kering_mcal,pct_total_e_kering_mcal,delta_yield_pk_kering_ton_ha,pct_yield_pk_kering_ton_ha,delta_yield_pb_kering_ton_ha,pct_yield_pb_kering_ton_ha,delta_yield_e_kering_mcal_ha,pct_yield_e_kering_mcal_ha,delta_energi_tersedia_mcal,pct_energi_tersedia_mcal,delta_kebutuhan_energi_mcal,pct_kebutuhan_energi_mcal,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas,indeks_k2_komposit,indeks_sfai,indeks_akses_informasi
20,Latoma,Konawe,2020,11031.35,89793.09,0.0,2832.75,2119.68,0.0,0.0,70.11,88.02,0.0,0.0,0.0,0.0,0.0,0.0,22426.21,18988.28,41141900.0,10.58,8.96,19409.49,41141900.0,5073322.0,36068578.0,8.1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.1344,0.1967
21,Puriala,Konawe,2020,10274.9,1855.44,216.99,5900.13,1002.33,4775.94,0.0,89.37,52.38,19139.66,12201.54,43559480.0,4.01,2.55,9120.61,10604.65,8978.96,19454708.0,10.58,8.96,19409.48,63014188.0,4725427.0,58288761.0,13.3351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4974,0.4974,0.4845
22,Uepai,Konawe,2020,13510.29,7061.58,24.66,1841.49,2307.69,1319.49,0.0,526.77,157.23,5287.88,3371.02,12034553.0,4.01,2.55,9120.61,24415.36,20672.49,44791072.0,10.58,8.96,19409.48,56825625.0,6213384.5,50612240.5,9.1457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626,0.3626,0.877
23,Wonggeduku,Konawe,2020,8211.86,0.0,590.31,2284.02,707.31,2555.28,0.0,377.01,39.87,10240.33,6528.21,23305712.0,4.01,2.55,9120.61,7483.34,6336.14,13728524.0,10.58,8.96,19409.49,37034236.0,3776633.75,33257602.25,9.8061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6171,0.6171,0.5598
24,Besulutu,Konawe,2020,3397.82,1783.17,1789.2,3542.85,2462.49,0.18,0.0,40.77,85.5,0.72,0.46,1641.71,4.01,2.55,9120.61,26053.14,22059.2,47795672.0,10.58,8.96,19409.49,47797313.71,1562657.5,46234656.21,30.5872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716,0.5716,0.6214
25,Bondoala,Konawe,2020,1423.38,0.0,0.0,1189.8,350.73,0.0,6.75,217.8,1014.75,0.0,0.0,0.0,0.0,0.0,0.0,3710.72,3141.87,6807489.0,10.58,8.96,19409.49,6807489.0,654610.25,6152878.75,10.3993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6366,0.6366,0.7697
26,Routa,Konawe,2020,8508.49,149206.23,1651.23,10620.63,7734.51,0.0,39.06,69.21,505.71,0.0,0.0,0.0,0.0,0.0,0.0,81831.12,69286.39,150122800.0,10.58,8.96,19409.48,150122800.0,3913048.75,146209751.25,38.3647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278,0.1278,0.1017
27,Anggaberi,Konawe,2020,6274.03,6286.86,1180.98,1816.65,1787.58,418.05,0.0,182.34,0.0,1675.34,1068.03,3812870.75,4.01,2.55,9120.61,18912.6,16013.3,34696004.0,10.58,8.96,19409.48,38508874.75,2885426.25,35623448.5,13.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.315,0.7118
28,Meluhu,Konawe,2020,8605.52,6464.43,2215.98,1716.75,1312.29,873.81,0.0,346.5,0.0,3501.81,2232.4,7969680.0,4.01,2.55,9120.61,13884.03,11755.61,25470872.0,10.58,8.96,19409.48,33440552.0,3957677.5,29482874.5,8.4495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4974,0.4974,0.6353
29,Amonggedo,Konawe,2020,13405.13,8338.86,1445.94,3094.2,1605.6,1655.82,21.78,713.7,0.0,6635.73,4230.28,15102087.0,4.01,2.55,9120.61,16987.25,14383.1,31163870.0,10.58,8.96,19409.49,46265957.0,6165019.5,40100937.5,7.5046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694,0.3694,0.5954
