id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas
209,Kadia,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Puuwatu,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Kambu,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Nambo,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Betoambari,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Wolio,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Sorawolio,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Bungi,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Kokalukuna,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Murhum,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Lea-Lea,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Batupoaro,Kota Bau Bau,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Wundulako,Kolaka,2025,-0.0498,-0.0562,0.0009,0.0014,-5.3523,-1.7679,-0.1336,-0.1191
1,Kolaka,Kolaka,2025,0.1663,0.3099,0.0012,0.0016,-3.5179,0.0254,-0.1702,-0.1577
2,Pomalaa,Kolaka,2025,-0.1781,-0.3466,0.0019,0.0023,-14.1048,-10.7536,-0.1949,-0.1887
3,Watubangga,Kolaka,2025,-0.9266,-1.1494,0.0009,-0.0001,-20.4173,-11.1271,0.0103,-0.0092
4,Wolo,Kolaka,2025,0.6023,0.4584,0.0015,0.0009,41.8732,57.954,-0.2778,-0.2301
5,Baula,Kolaka,2025,-0.211,-0.4991,0.0007,0.0013,-7.7179,-5.0174,-0.1112,-0.0634
6,Latambaga,Kolaka,2025,0.8212,0.8372,0.0016,0.0018,-2.0932,-1.857,-0.1894,-0.215
7,Tanggetada,Kolaka,2025,-0.538,-0.8718,-0.0006,-0.0003,-20.589,-14.7012,-0.1816,-0.0023
8,Samaturu,Kolaka,2025,0.673,0.7622,0.0007,0.0011,-19.5534,-3.4773,-0.2874,-0.2474
9,Toari,Kolaka,2025,0.0,-0.9098,0.0,0.0,0.0,-22.1699,0.0,-0.0529
10,Polinggona,Kolaka,2025,-1.0917,-1.2656,-0.0011,-0.0006,-19.915,-12.611,0.066,0.0126
11,Iwoimendaa,Kolaka,2025,0.502,0.3302,0.002,0.0006,56.906,60.1282,-0.3918,-0.229
12,Lambuya,Konawe,2025,-1.7291,-1.7011,-0.0052,-0.0047,-19.041,-16.8571,0.0696,0.0697
13,Unaaha,Konawe,2025,-1.235,-1.2475,-0.0056,-0.005,-20.1279,-18.3446,0.0049,0.0191
14,Wawotobi,Konawe,2025,-1.655,-1.6146,-0.0066,-0.0065,-23.7436,-23.1578,0.0555,0.0574
15,Pondidaha,Konawe,2025,-2.1833,-2.174,-0.0064,-0.0064,-24.9307,-25.5709,0.1164,0.1073
16,Sampara,Konawe,2025,0.0,-2.206,0.0,-0.0057,0.0,-20.8364,0.0,0.1219
17,Abuki,Konawe,2025,-0.3845,-0.471,-0.0035,-0.0036,-18.1256,-17.7052,-0.0812,-0.0644
18,Soropia,Konawe,2025,0.0,-0.4696,0.0,-0.0022,0.0,-24.4754,0.0,-0.1147
19,Tongauna,Konawe,2025,-1.0165,-0.9697,-0.0047,-0.0042,-17.9413,-16.9746,0.0019,0.0087
20,Latoma,Konawe,2025,0.0,0.4886,0.0,-0.0015,0.0,-0.1088,0.0,-0.2208
21,Puriala,Konawe,2025,-1.9479,-2.009,-0.005,-0.005,-17.2903,-16.6401,0.0951,0.099
22,Uepai,Konawe,2025,-1.4804,-1.2771,-0.0049,-0.0045,-17.9914,-17.1121,0.0475,0.0363
23,Wonggeduku,Konawe,2025,-2.0397,-2.0645,-0.0061,-0.0064,-22.8091,-24.0675,0.0986,0.0942
24,Besulutu,Konawe,2025,0.0,-2.1565,0.0,-0.0061,0.0,-24.6139,0.0,0.1126
25,Bondoala,Konawe,2025,0.0,-1.9158,0.0,-0.0053,0.0,-22.0846,0.0,0.0715
26,Routa,Konawe,2025,0.0,-0.3155,0.0,0.0001,0.0,26.3049,0.0,-0.047
27,Anggaberi,Konawe,2025,-1.3486,-1.2442,-0.0062,-0.0056,-22.1706,-19.3196,0.0209,0.0525
28,Meluhu,Konawe,2025,-1.7231,-1.6331,-0.0079,-0.0082,-25.9346,-27.0833,0.0673,0.0363
29,Amonggedo,Konawe,2025,-1.9906,-1.9436,-0.007,-0.0077,-23.8311,-28.2462,0.0986,0.0749
30,Asinua,Konawe,2025,-0.132,-0.0318,-0.004,-0.0038,-20.7347,-22.3613,-0.0791,-0.0657
31,Konawe,Konawe,2025,-1.721,-1.6075,-0.0055,-0.0057,-19.8547,-20.6127,0.0726,0.0555
32,Kapoiala,Konawe,2025,0.0,-1.1054,0.0,-0.0066,0.0,-22.724,0.0,-0.0254
