id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas
173,Wawonii Timur,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Wawonii Tenggara,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Wawonii Selatan,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Wawonii Tengah,Konawe Kepulauan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Sawerigadi,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Barangka,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Lawa,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Wadaga,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Tiworo Selatan,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Maginti,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Tiworo Tengah,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Tiworo Utara,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Tiworo Kepulauan,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Kusambi,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Napano Kusambi,Muna Barat,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Lakudo,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Mawasangka Timur,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Mawasangka Tengah,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Mawasangka,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Talaga Raya,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Gu,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Sangia Wambulu,Buton Tengah,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Batauga,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Sampolawa,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Lapandewa,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Batu Atas,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Siompu Barat,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Siompu,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Kadatua,Buton Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Mandonga,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Kendari,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Baruga,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Poasia,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Kendari Barat,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Abeli,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Wua-Wua,Kota Kendari,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
